id_cliente,marca_rec,sku,len_marca_rec,desc_rec,desc_giro,desc_subgiro,categoria_cliente_2,fecha_creacion,antiguedad,new_segment,dias_de_visita__c,periodo_de_visita__c,ultima_visita,cod_compania,cod_sucursal,cod_cliente,cod_modulo,cod_ruta,peso,marca_rec_rank
MX|0030|1514907,ENERGIZANTE,522713,5,VOLT UVA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-18,old_client,MANTENER,3,F1,2026-01-21,0030,84,1514907,11583,1158,1,1
MX|0030|1514907,GASEOSAS,500354,5,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-18,old_client,MANTENER,3,F1,2026-01-21,0030,84,1514907,11583,1158,3,2
MX|0030|1545369,JUGOS LIGEROS,509826,1,CIFRUT .625ML NARANJA MANDARINA LIMON PET NO RETORNABLE 12PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,BLINDAR,3,F1,2026-01-21,0030,112,1545369,10653,1065,2,1
MX|0030|1545386,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1545386,10653,1065,1,1
MX|0030|1545435,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1545435,10653,1065,1,1
MX|0030|1545466,ENERGIZANTE,599212,2,VOLT BLUEBERRY PET NO RETORNABLE 600 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1545466,10653,1065,1,1
MX|0030|1545466,JUGOS LIGEROS,598901,2,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1545466,10653,1065,2,2
MX|0030|1545470,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1545470,10653,1065,1,1
MX|0030|1547118,ENERGIZANTE,522512,1,VOLT PONCHE DE FRUTA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,BLINDAR,3,F1,2026-01-21,0030,112,1547118,10653,1065,1,1
MX|0030|1547125,ENERGIZANTE,522512,2,VOLT PONCHE DE FRUTA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1547125,10653,1065,1,1
MX|0030|1547957,ENERGIZANTE,517297,1,VOLT RED LATA 473 ML 12 PACK,NEGOCIOS INDEPENDIENTES,GIMNASIO TRADICIONAL,Regular,2016-03-22,old_client,BLINDAR,3,F1,2026-01-21,0030,112,1547957,10653,1065,1,1
MX|0030|1548394,ENERGIZANTE,599228,2,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1548394,10653,1065,1,1
MX|0030|1548394,JUGOS LIGEROS,598901,2,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1548394,10653,1065,2,2
MX|0030|1548409,ENERGIZANTE,599228,2,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,BLINDAR,3,F1,2026-01-21,0030,112,1548409,10653,1065,1,1
MX|0030|1548411,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,BLINDAR,3,F1,2026-01-21,0030,112,1548411,10653,1065,1,1
MX|0030|1548563,ENERGIZANTE,599228,1,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1548563,10653,1065,1,1
MX|0030|1555787,ENERGIZANTE,517262,2,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1555787,10653,1065,1,1
MX|0030|1555787,JUGOS LIGEROS,598901,2,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1555787,10653,1065,2,2
MX|0030|1555802,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1555802,10653,1065,1,1
MX|0030|1555813,ENERGIZANTE,599228,1,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,BLINDAR,3,F1,2026-01-21,0030,112,1555813,10653,1065,1,1
MX|0030|1587626,SOPA INSTANTANEA,800070,1,D GUSSTO RES VASO 64 GRS 12,BODEGA Y PARTICULARES,VENTA EN CASA PARTICULAR,Regular,2016-09-21,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,84,1587626,11583,1158,8,1
MX|0030|1588818,JUGOS LIGEROS,598901,1,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1588818,10653,1065,2,1
MX|0030|1588829,ENERGIZANTE,522713,1,VOLT UVA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1588829,10653,1065,1,1
MX|0030|1588830,ENERGIZANTE,517146,1,VOLT GUARANA REGULAR PET NO RETORNABLE 400 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1588830,10653,1065,1,1
MX|0030|1588833,ENERGIZANTE,517262,2,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-10-31,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1588833,10653,1065,1,1
MX|0030|1588833,JUGOS LIGEROS,598901,2,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,,"BODEGAS, TIENDAS",Irregular,2016-10-31,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1588833,10653,1065,2,2
MX|0030|1588838,ENERGIZANTE,599228,1,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1588838,10653,1065,1,1
MX|0030|1588844,ENERGIZANTE,517146,1,VOLT GUARANA REGULAR PET NO RETORNABLE 400 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1588844,10653,1065,1,1
MX|0030|1588845,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2026-01-21,0030,112,1588845,10653,1065,1,1
