id_cliente,marca_rec,sku,len_marca_rec,desc_rec,desc_giro,desc_subgiro,categoria_cliente_2,fecha_creacion,antiguedad,new_segment,dias_de_visita__c,periodo_de_visita__c,ultima_visita,cod_compania,cod_sucursal,cod_cliente,cod_modulo,cod_ruta,peso,marca_rec_rank
MX|0030|1514907,ENERGIZANTE,517297,4,VOLT RED LATA 473 ML 12 PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-18,old_client,MANTENER,3,F1,2025-12-17,0030,84,1514907,11583,1158,1,1
MX|0030|1514907,CAFE,800060,4,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-18,old_client,MANTENER,3,F1,2025-12-17,0030,84,1514907,11583,1158,2,2
MX|0030|1527488,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-18,old_client,DESARROLLAR,3,F1,2025-12-17,0030,84,1527488,11583,1158,1,1
MX|0030|1545369,ENERGIZANTE,517262,2,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,BLINDAR,3,F1,2025-12-17,0030,112,1545369,10653,1065,1,1
MX|0030|1545386,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1545386,10653,1065,1,1
MX|0030|1545466,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1545466,10653,1065,1,1
MX|0030|1547118,ENERGIZANTE,599228,1,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,BLINDAR,3,F1,2025-12-17,0030,112,1547118,10653,1065,1,1
MX|0030|1547957,ENERGIZANTE,522713,1,VOLT UVA LATA 473 ML 12,NEGOCIOS INDEPENDIENTES,GIMNASIO TRADICIONAL,Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1547957,10653,1065,1,1
MX|0030|1548394,ENERGIZANTE,599228,1,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1548394,10653,1065,1,1
MX|0030|1548408,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1548408,10653,1065,1,1
MX|0030|1548409,ENERGIZANTE,599228,2,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,BLINDAR,3,F1,2025-12-17,0030,112,1548409,10653,1065,1,1
MX|0030|1548411,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,BLINDAR,3,F1,2025-12-17,0030,112,1548411,10653,1065,1,1
MX|0030|1548562,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1548562,10653,1065,1,1
MX|0030|1548563,ENERGIZANTE,522713,2,VOLT UVA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1548563,10653,1065,1,1
MX|0030|1548563,JUGOS LIGEROS,509826,2,CIFRUT .625ML NARANJA MANDARINA LIMON PET NO RETORNABLE 12PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1548563,10653,1065,2,2
MX|0030|1548569,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1548569,10653,1065,1,1
MX|0030|1555784,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1555784,10653,1065,1,1
MX|0030|1555796,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1555796,10653,1065,1,1
MX|0030|1555802,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1555802,10653,1065,1,1
MX|0030|1555804,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-03-22,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1555804,10653,1065,1,1
MX|0030|1555813,ENERGIZANTE,522713,1,VOLT UVA LATA 473 ML 12,,"BODEGAS, TIENDAS",Irregular,2016-03-22,old_client,BLINDAR,3,F1,2025-12-17,0030,112,1555813,10653,1065,1,1
MX|0030|1587626,CAFE,800060,3,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,BODEGA Y PARTICULARES,VENTA EN CASA PARTICULAR,Regular,2016-09-21,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,84,1587626,11583,1158,2,1
MX|0030|1587626,ENERGIZANTE,517140,3,VOLT GUARANA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,VENTA EN CASA PARTICULAR,Regular,2016-09-21,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,84,1587626,11583,1158,2,2
MX|0030|1587626,BEBIDAS DEPORTIVAS,599565,3,SPORADE UVA PET NO RETORNABLE 625 ML 6,BODEGA Y PARTICULARES,VENTA EN CASA PARTICULAR,Regular,2016-09-21,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,84,1587626,11583,1158,10,3
MX|0030|1588818,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588818,10653,1065,1,1
MX|0030|1588829,ENERGIZANTE,522713,1,VOLT UVA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588829,10653,1065,1,1
MX|0030|1588833,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588833,10653,1065,1,1
MX|0030|1588844,ENERGIZANTE,599212,2,VOLT BLUEBERRY PET NO RETORNABLE 600 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588844,10653,1065,1,1
MX|0030|1588844,JUGOS LIGEROS,509826,2,CIFRUT .625ML NARANJA MANDARINA LIMON PET NO RETORNABLE 12PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588844,10653,1065,2,2
MX|0030|1588845,ENERGIZANTE,599228,2,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588845,10653,1065,1,1
MX|0030|1588845,JUGOS LIGEROS,509826,2,CIFRUT .625ML NARANJA MANDARINA LIMON PET NO RETORNABLE 12PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588845,10653,1065,2,2
MX|0030|1588849,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588849,10653,1065,1,1
MX|0030|1588850,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588850,10653,1065,1,1
MX|0030|1588851,ENERGIZANTE,517263,1,VOLT MORA REGULAR PET NO RETORNABLE 400 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588851,10653,1065,1,1
MX|0030|1588854,ENERGIZANTE,599228,1,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588854,10653,1065,1,1
MX|0030|1588861,ENERGIZANTE,522713,2,VOLT UVA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588861,10653,1065,1,1
MX|0030|1588861,JUGOS LIGEROS,509826,2,CIFRUT .625ML NARANJA MANDARINA LIMON PET NO RETORNABLE 12PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-10-31,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588861,10653,1065,2,2
MX|0030|1588996,ENERGIZANTE,522512,1,VOLT PONCHE DE FRUTA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-11-01,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1588996,10653,1065,1,1
MX|0030|1589041,ENERGIZANTE,522713,1,VOLT UVA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-11-01,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1589041,10653,1065,1,1
MX|0030|1589042,ENERGIZANTE,522713,1,VOLT UVA LATA 473 ML 12,,"BODEGAS, TIENDAS",Irregular,2016-11-01,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1589042,10653,1065,1,1
MX|0030|1589043,ENERGIZANTE,599228,2,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-11-01,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1589043,10653,1065,1,1
MX|0030|1589043,JUGOS LIGEROS,509826,2,CIFRUT .625ML NARANJA MANDARINA LIMON PET NO RETORNABLE 12PACK,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2016-11-01,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,112,1589043,10653,1065,2,2
MX|0030|1591854,ENERGIZANTE,517140,1,VOLT GUARANA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2017-02-20,old_client,DESARROLLAR,3,F1,2025-12-17,0030,84,1591854,11583,1158,1,1
MX|0030|1592240,CAFE,800060,1,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2017-02-20,old_client,OPTIMIZAR,3,F1,2025-12-17,0030,84,1592240,11583,1158,2,1
MX|0030|1593542,ENERGIZANTE,522713,3,VOLT UVA LATA 473 ML 12,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2017-02-20,old_client,BLINDAR,3,F1,2025-12-17,0030,84,1593542,11553,1155,1,1
MX|0030|1593932,ENERGIZANTE,517262,2,VOLT MORA REGULAR LATA 473 ML 15,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2017-02-20,old_client,BLINDAR,3,F1,2025-12-17,0030,84,1593932,11553,1155,1,1
MX|0030|1594119,ENERGIZANTE,517262,1,VOLT MORA REGULAR LATA 473 ML 15,,"BODEGAS, TIENDAS",Irregular,2017-02-20,old_client,DESARROLLAR,3,F1,2025-12-17,0030,84,1594119,11583,1158,1,1
